random,jackets,brian,spartan,lam,team,player,ratings,salary,years,pitch
,,,,,Pittsburgh Rivers,Stefon Woods,CB 24y 58 65,16.0,3,
,,,,,Las Vegas Blue Chips,Stefon Woods,CB 24y 58 65,8.0,1,
,,,,,Cleveland Curses,Stefon Woods,CB 24y 58 65,10.6,4,
,,,,,Montreal Mounties,Stefon Woods,CB 24y 58 65,10.0,1,"To have success in the AFF, you need to have talent in every single position on the roster. Currently, our team has most of those covered, except in the secondary, no pun intended. This is where you come in.

The Montreal Mounties will offer you a 1 year, 10 million dollar deal. This deal will, not only more than triple your salary but also give you the opportunity to earn even more once you improve and become part of the elite corners in this league.

We expect to see you in training camp,
El Griegongolongo, Montreal Mounties General Manager"
,,,,,Detroit Muscle,Stefon Woods,CB 24y 58 65,6.0,4,
,,,,,Las Vegas Blue Chips,Steven Malveau,OL 29y 65 65,10.0,1,
,,,,,San Antonio Churros,Steven Malveau,OL 29y 65 65,12.0,1,Hello Steven! We need to boost our offensive line and you would be an amazing addition!
,,,,,Baltimore Crabs,T.J. King,DL 27y 63 63,12.5,1,
,,,,,Boston Massacre,T.J. King,DL 27y 63 63,11.0,3,Come start for us on our D-line 
,,,,,New York Bankers,Ted Ramirez,TE 27y 44 44,2.0,1,
,,,,,Los Angeles Earthquakes,Ted Ramirez,TE 27y 44 44,1.0,2,
,,,,,Detroit Muscle,Terrance Uthoff,WR 28y 62 62,10.0,3,
,,,,,San Antonio Churros,Terrance Uthoff,WR 28y 62 62,11.0,1,One year deal so you can head back into Fa next year for an even bigger payday instead of when you are old and can't!!
,,,,,Boston Massacre,Terrance Uthoff,WR 28y 62 62,10.0,2,"Dear Terrence, come be the #1 WR on an up-and-coming Massacre club that's now in the top 12 in power rankings. In fact, we'll take some of our Uth-off the team just to make space for you. "
,,,,,Montreal Mounties,Tyler Cage,OL 29y 80 80,24.0,2,"From an unsigned fifth-rounder to one of the most dominant linemen the AFF has ever seen. You've defied all odds, you've proven so many teams wrong along the way. It is, no doubt, that all your success can only be credited to you and your work ethic.

In Montreal, we love work ethic.

The Montreal Mounties Organization would like to offer you a 48 million dollar contract over the next two seasons. (that is to say, 24 million per year) We believe that your play has not justified a decrease in pay. Our salary offer is with what you've received over your career. 

I believe that you joining this team, would lead us to contention for years to come. We want you to be our premier lineman for the rest of your career.

We expect to see you in training camp,
El Griegongolongo, Montreal Mounties General Manager"
,,,,,San Antonio Churros,Tyler Cage,OL 29y 80 80,21.0,1,"Hello Tyler! The Churros want you to lead our young offensive line. Although it may not be the best in the league, we are looking to contend this season and will eagerly trade our picks if you come. We want to win, but the first thing is to get the anchor of our offensive line, which is you! Play alongside stars like Justin Gerber and David Cochran whiele blocking for the best RBs in the league. Although we may be lackluster at QB, we are eyes multiple good QBs to join the team! In addition, this one year contract allows you to hit FA at 29 before you age, meaning you can get another big payday next year. The Churros want you as you will revolutionize our team for the better. We want to win, but we can't do so without you. So come down to sunny San Antonio, with our amazing fanbase the history. We offer free and unlimited churros as well!"
,,,,,New York Bankers,Tyler Cage,OL 29y 80 80,30.0,1,"New York rhymes with screw pork, join us on our journey to screw pork!"
,,,,,Las Vegas Blue Chips,Xavier Baggett,OL 26y 72 77,16.5,4,"We are in big need of a great OL and you are one of the best in the FA class and in the league. Our team needs a good OL for a deep playoff run, as every other position is set. I believe you can come in and stabilize our O Line and lead us to a deep playoff run "
,,,,,Montreal Mounties,Xavier Baggett,OL 26y 72 77,19.0,4,"You've been an elite lineman in this league ever since you were drafted with the 11th overall pick. Your talent is widely noticed by the entire AFF.
Yet, you weren't paid like a top offensive lineman. You went 5 years only getting mid-tier money.

That. Ends. Now.

The Montreal Mounties are offering to you, a 76 million dollar contract over the next 4 years. (that is to say, 19 million a season) We understand that leaving the nice weather of Los Angeles might be a little difficult, but we offer something better than warm weather.

We offer the best players a place to shine.
We offer a work hard, play hard mentality.
We offer a team that looks to compete every single season.

We believe that you, along with our other linemen in the team, could lead the best offensive line the AFF has seen. And with you, we can envision us holding the super bowl trophy together.

I expect to see you in training camp.

El Griegongolongo,
Montreal Mounties General Manager

"
,,,,,Montreal Mounties,Xavier Baggett,OL 26y 72 77,21.5,4,"We have heard some rumors, so we are bumping up our per-year average. Montreal really wants you here to block."
,,,,,Vancouver Whalers,Xavier Baggett,OL 26y 72 77,20.0,2,1mill
