Timestamp,Discord Username,Team Name,The Player You Want To Sign,Average Annual Value (AAV) ,Number of Years (1-5),"Pitch (optional, increases chances)"
8/24/2020 15:51:25,Billythekid1701,Las Vegas Blue Chips,Chase Groeschel,8,3,"We need a DL that can come in and turn our D-line back into once of the top forces in the league, and you got the skills to do so. Here at LV we are willing to pay you over a span of yrs that leads you into your 30s, because you are just that good, come to LV and let’s get back in the playoff race!"
8/24/2020 16:00:17,Eris,New York Bankers,Chase Groeschel,8.36,5,"Hello, New York would love your versatility after the departure of DL Victor Daniel and safeties, Nate Mees and Jevontay Walker."
8/24/2020 9:44:09,Buck,San Francisco Venture Capitalists,Chase Groeschel,8.1,1,
8/23/2020 18:17:34,RMTGames,Chicago Whirlwinds,Chris Lawrence,0.5,3,"Hey Chris we're at cap max so we cant give you more than the min however you will be the starting kicker for us as we make a playoff push, come join us in the Windy City we hope you appreciate the offer and if you sign we'll take you out for deep dish your first night in Chicago."
8/25/2020 12:00:35,Agombar,Pittsburgh Rivers,Chris Walker,0.5,5,
8/24/2020 22:50:25,Random,Montreal Mounties,Colton Bain,7,1,
8/24/2020 14:45:27,Scotty ,Tampa Turtles,Connor Ryan,5.2,3,Sign with the turtles with you in front of our safety we will crush our opponents let’s do it! I can tell you want to lead a team to a championship sign with us we’re that I  want to be The team of your choice 
8/24/2020 16:03:06,Johnnie,Vancouver Whalers,Connor Ryan,6.3,3,
8/24/2020 1:24:11,Sciipi,Los Angeles Earthquakes,Corey Hill,7.5,4,
8/24/2020 16:08:40,Just Ballin,Boston Massacre,Dallas Williamson,4,5,
8/24/2020 13:58:29,lam_chop19,San Antonio Churros,Dallas Williamson ,12.6,1,
8/25/2020 5:13:46,buck,San Francisco Venture Capitalists,Darnell Graves,0.5,3,
8/25/2020 11:56:04,Agombar,Pittsburgh Rivers,Darnell Graves,0.5,5,
8/25/2020 1:13:53,Dalphix,Minneapolis Blizzard,De'Vante Robinson,4.2,1,
8/25/2020 5:11:41,buck,San Francisco Venture Capitalists,Dedrick Davis,0.5,3,
8/25/2020 1:18:46,Dalphix,Minneapolis Blizzard,Delvon Combs,3,2,
8/24/2020 23:18:37,Just Ballin,Boston Massacre,Dennis Ricks,3,1,
8/25/2020 8:36:01,Spartan,Detroit Muscle,Dennis Ricks,3,1,Be a starter on a young defense with the chance to earn a long term contract.
8/24/2020 22:54:42,Random,Montreal Mounties,Dennis Ricks,4,1,
8/25/2020 12:03:15,Agombar,Pittsburgh Rivers,Dezmand Wilson,0.5,5,
8/23/2020 18:33:38,RMTGames,Chicago Whirlwinds,DiAndre Pritchard,0.5,1,"Come fight for the 2nd string qb spot here in Chicago, we'll take you out for Deep Dish."
8/24/2020 16:08:09,Just Ballin,Boston Massacre,Eddie Kazakevicius,5,5,
8/24/2020 23:14:46,Just Ballin,Boston Massacre,Eddie Kazakevicius,10,1,
8/24/2020 22:41:40,Random,Montreal Mounties,Eddie Kazakevicius,12,2,
8/25/2020 12:00:57,Agombar,Pittsburgh Rivers,Ethan Bell,0.5,5,
8/25/2020 11:58:15,Agombar,Pittsburgh Rivers,Fred Munzenmaier,0.5,5,
8/24/2020 22:55:43,Just Ballin,Boston Massacre,Garrett Evanoff,0.5,4,
8/24/2020 15:53:38,Jspivey01 ,Toronto Beavers,Gilbert Scott,14,4,
8/25/2020 5:13:04,buck,San Francisco Venture Capitalists,Grant Banks,0.5,3,
8/25/2020 11:57:42,Agombar,Pittsburgh Rivers,Grant Banks,0.5,5,
8/25/2020 11:59:02,Agombar,Pittsburgh Rivers,Hasaan McPeek,0.5,5,
8/24/2020 21:39:47,Fritz-Nuk-Po#3851,Houston Apollos,Hunter Satterthwait,2.5,2,You would be our starting TE. Get Playing Time. 
8/24/2020 23:23:19,Just Ballin,Boston Massacre,Ian Walker,5.6,3,
8/25/2020 12:01:33,Agombar,Pittsburgh Rivers,Isaiah Doss,0.5,5,
8/24/2020 22:35:19,Random,Montreal Mounties,Jackson Anderson,3.5,3,Join
8/24/2020 23:14:02,Just Ballin,Boston Massacre,Jacob Biadasz,8,3,"This OL is getting younger and you'd be a big part of it for years to come. We got some special stuff happening in Boston and you could be a big part of turning a franchise around and be loved by the city, not that we aren't in a position to win at any point."
8/24/2020 22:46:57,Random,Montreal Mounties,Jacob Biadasz,10,2,
8/24/2020 23:20:27,Just Ballin,Boston Massacre,Jared Pope,2.1,1,
8/24/2020 22:53:07,Random,Montreal Mounties,Jared Pope,3,1,
8/24/2020 23:16:57,Just Ballin,Boston Massacre,Jason Williams,11,1,
8/24/2020 22:40:17,Random,Montreal Mounties,Jason Williams,18,1,
8/24/2020 15:56:36,lam_chop19,San Antonio Churros,Jody Anderson ,13.5,1,
8/25/2020 11:52:54,Agombar,Pittsburgh Rivers,Joe McMurtray,1,5,
8/24/2020 23:21:10,Just Ballin,Boston Massacre,Johnny Holmes,2.1,1,
8/24/2020 22:52:43,Random,Montreal Mounties,Johnny Holmes,3,1,
8/24/2020 23:17:59,Just Ballin,Boston Massacre,Jonathan Rosenbauer,6.1,4,
8/24/2020 21:38:51,Fritz-Nuk-Po#3851,Houston Apollos,Jonathan Rosenbauer,11,4,
8/24/2020 14:43:13,Scotty general ,Tampa Turtles,Jonathan Rosenbauer ,7,4,"My man, sign with the turtles and I predict we can win with you on the team, you can be our lucky ace! You will be the star cb we need, you’re the best, anything you need it’s on us, number change? Sure! Hookers? Sure! Drugs? Under the table but sure! Sign with the turtles"
8/24/2020 16:05:53,Just Ballin,Boston Massacre,Joseph Lewis,15,5,
8/23/2020 19:06:21,Fritz-Nuk-Po#3851,Houston Apollos,Joseph Lewis,23,5,
8/23/2020 21:47:48,AJ,Mexico City Aztecs,Joseph Lewis,30,5,"Hello Mr. Lewis, 

First of all I would just like to thank you for taking the time to meet with me today. As the General Manager of the Aztecs, it would be an understatement to say that we are ecstatic about the opportunity we have to sign you to Mexico City this offseason. Without further ado I would like to get straight to it and show you just how amazing a decision this could turn out to be.

Joseph, every player in the AFF experiences moments that define their careers. The day you get drafted, the day you make your first start, the day you lift that Super Bowl trophy, and the day that you step out onto the field for the final time in your career. In this pitch I want to talk to you about some of these moments.


April 2032: The 2032 AFF Draft commences, for the past year the talk of the draft was your talent and how you were a lock for a top pick in the draft. That night, the Commissioner of the AFF stepped up to the podium and said… “With the 2ndpick in the 2032 AFF Draft, the Detroit Muscle select Joseph Lewis.” Hearing your name first out of the 200+ prospects that were eagerly listening didn’t stump you. You had become accustomed to the bright lights and you calmly walked up to the podium and shook the commissioner's hand ready for what was to come.

Regular Season 2033: In your first ever year in the league, the impact of your talent in the trenches was obvious. That year, Detroit Running Backs combined for over 1600 rushing yards whereas Detroit Quarterbacks put in a respectable 19-7 TD-INT ratio. Additionally, starting QB Lloyd Townsend was only sacked 19 times that year. NINETEEN. For a line led by a young rookie OL like yourself that was truly incredible in your first ever season. It truly set into motion, the events that led you to become an elite talent in the Federation.

Now 5 seasons soon to be 6 seasons and multiple Pro Bowl calibre seasons later you are well on your way to a potential Hall of Fame career and you find yourself a 26 year old in the prime of their career ready to make bank with a big contract for the first time. The Aztecs think we know what you want from your next team, and here’s why that team should be Mexico City.

First of all, Mexico City is still roaring after securing a wild card spot in last year's playoffs despite being one of the youngest teams in the league when it comes to experience in the AFF. While we were unable to do much in the playoffs, with a 10-6 record last year, the only way is up for this team and its clear to see why. Offseason acquisitions Adam Scales and Marcus Norman add tons of experience to the team and the Aztecs are expected to make a DEEP playoff push next season with Super Bowl aspirations for the next few years. Adding you to the team makes us legitimate contenders and at this point in your career I’m sure you’d love to be the leader on a Super Bowl Contender.

Now what may be the most important thing for you this year, I want to talk to you about the contract that you will be offered. While many people believe that long term maxes should only be offered to Franchise QBs I am not of that opinion, I believe that the Offensive Line is MORE important than the players that play behind them, Allow me to make an analogy for a second. When you have a shiny new car, you buy the best insurance you can find. In this case, young QB Josh Palmgren is still adjusting to being a AFF QB, He will be playing his first season as a starter this year and I am ready to invest in a player like yourself to help guide him and protect him in his AFF career. Now where this is leading you might ask? WELL the Aztecs are giving you a 30M/5Y contract which would not only make you the highest paid OL in the league, but also the highest paid player in the AFF. Sounds pretty nice doesn't it. Get paid a ton to play for a contender.

Now before I leave you today, you’ll remember at the beginning of this pitch I mentioned four critical moments in a player’s career, two of yours have already happened and if you sign on with the Aztecs, here’s how I imagine the other two will plan out.

2037 AFF Playoffs: AND THE CLOCK RUNS OUT. The AZTECS ARE YOUR SUPER BOWL WINNERS AND NOW CAPTAIN JOSEPH LEWIS LIFTS THE SB TROPHY. What an amazing season from MXC and the Lewis contract has surely paid off as he puts in an amazing performance to bring his team to the promised land.

2045 AFF Season: AND just like that, the game ends and so does the illustrious career of Joseph Lewis having signed with the Aztecs 5 seasons ago, Lewis has seen it all winning a chip with the Aztecs and playing for 5 great years, now he retires a Hall of Famer and no doubt as one of the greatest players of all time to play OL, WHAT A CAREER FROM LEWIS.

This could be your future and the Aztecs would love to be a part of it. We want you as a part of Aztecs history Joseph and we hope that you want to as well. With that I hope you sign with Mexico City this offseason."
8/23/2020 17:59:51,Johnnie,Vancouver Whalers,Joseph Lewis,25,5,"Joseph Lewis, I would like for you to join my team. Firstly, we know you’re an amazing pass blocker, and with our wideouts and quarterback, you’d fit right into our team. You’re obviously gonna be a starter, but also I’d like to give you a 5 year deal because I trust you to be a premier OL for this team for a long time, and I’d like to promise to keep MM for a long time. Plus, we added Jordan Marsh, an another great OL, so we have a good OL around you. Yes, we weren’t great last year as a team, but hopefully you join the team."
8/24/2020 15:49:27,Durantula,Philadelphia Liberty,Joseph Lewis ,24,4,Come on back to Philly my man we need you and we willing to pay. Sorry for whatever we did to make you refuse but we very seriously believe in you my man 
8/24/2020 22:51:35,Random,Montreal Mounties,Josh Besong,2,1,
8/24/2020 15:36:48,Atomicman18,Sacramento Gold Rush,Joshka Weinstock,20,3,"Joshka, 

We are very excited to reach out to you in regards to joining our franchise. We are rebuilding this roster into a contender and are looking to bring you in to lead us. We had a very successful draft in which we were able to grab potential franchise OL and WR for you to operate with. 

Sacramento has not been an ideal situation for a QB in the past, but it is our goal to find the right signal called and develop a roster around him. We truly feel that you can not only be that guy, but develop us into a playoff contender in the near future. 

Your production last season was on par with what we're looking for and we believe that we can continue to elevate that in the sense of completion percentage and your TD/INT ration. There will be be plenty of weapons to engage with and we won't stop searching for the right combinations that work with your skill set until we find them. 

Our staff knows that you will receive plenty of interest this offseason, but we truly feel that your home could be in Sacramento. You will can be the catalyst that drives our club going forward. 

We hope to see a commitment from you soon! "
8/24/2020 22:38:43,Random,Montreal Mounties,Justin Davis,2.5,3,
8/25/2020 7:41:11,Scotty ,Tampa Turtles,Justin davis,4,3,
8/25/2020 5:53:56,Fingql,Denver High,Justin Hester,2,5,With 10M you could by around 280 000 kit kat bars
8/25/2020 8:32:02,Spartan,Detroit Muscle,Justin Hester,6,3,"Hello Justin,

I'm reaching out as the AGM of the Detroit Muscle to sign you to a 3 year, 6 million dollar contract to be a starting offensive lineman for our organization. Our organization is going through a full rebuild, and we've kickstarted the process by opening up cap room and drafting young, and extremely talented rookies at QB and OL. Your experience would go a very long way in bolstering our OL for our rookie QB and to be part of the backbone for our offense.

I've long held the mentality that the offensive line is the key to a team's success. With the changes we're going through, Detroit is reaching out to multiple young OL to give them the opportunity to spark their careers on a very young team. We'd like to grow together, and set up the core of this team for future success. You're a huge part of that, and we'd love to have you as part of this organization under renewed front office personnel.

Best,
Spartan
Detroit AGM"
8/24/2020 22:48:41,Random,Montreal Mounties,Justin Hester,4,2,
8/25/2020 11:51:24,Agombar,Pittsburgh Rivers,Justin Hester,2,5,"Hey Justin, big things are coming to Pitt and we expect you would like to be apart of it. We are a playoff ready team and have unfortunately come up short the past couple seasons. As other teams continue to go from contending to tanking, we will be there to take that playoff spot they leave vacant. We only need a few more pieces to take the next step in our championship run, you will be one of those pieces and we expect big things in your development. We expect to hear from you tonight, talk to you then.  "
8/24/2020 23:15:57,Just Ballin,Boston Massacre,Justin Jackson,4.5,3,
8/25/2020 1:02:48,Dalphix,Minneapolis Blizzard,Justin Jackson,5.3,2,"Justin, the Blizzard greatly appreciated your contributions last year, and we plan to hand you the keys to the starting RB position once again. Return to the team, and let's get to work on getting further in the postseason."
8/25/2020 8:34:31,Spartan,Detroit Muscle,Justin Williams,0.5,2,
8/25/2020 1:10:51,Dalphix,Minneapolis Blizzard,Justin Williams,0.5,2,
8/25/2020 12:00:20,Agombar,Pittsburgh Rivers,KC Gayot,0.5,5,
8/25/2020 1:09:27,Dalphix,Minneapolis Blizzard,Kurt Hitchens,0.5,2,
8/25/2020 8:30:50,Spartan,Detroit Muscle,Louy Bagley,6,3,"Hello Louy,

I'm reaching out as the AGM of the Detroit Muscle to sign you to a 3 year, 6 million dollar contract to be a starting offensive lineman for our organization. Our organization is going through a full rebuild, and we've kickstarted the process by opening up cap room and drafting young, and extremely talented rookies at QB and OL. Your experience would go a very long way in bolstering our OL for our rookie QB and to be part of the backbone for our offense.

I've long held the mentality that the offensive line is the key to a team's success. With the changes we're going through, Detroit is reaching out to multiple young OL to give them the opportunity to spark their careers on a very young team. We'd like to grow together, and set up the core of this team for future success. You're a huge part of that, and we'd love to have you as part of this organization under renewed front office personnel.

Best,
Spartan
Detroit AGM"
8/25/2020 1:16:20,Dalphix,Minneapolis Blizzard,Louy Bagley,4.2,2,
8/23/2020 17:21:15,Ricky,Cleveland Curses,Marcus Ginn,9,3,With the trade for Michael Batson. The Curses look to strengthen our offense in order to compete and climb out of the bottom of the league. With you on the offense we can begin this
8/25/2020 5:47:06,Fingal,Denver High,Marcus Ginn,11,3,We want you to become or star WR for the years to come!
8/23/2020 18:23:23,RMTGames,Chicago Whirlwinds,Marlon Dacus,0.5,2,"Hey Marcus we wanna bring you into the Windy City as we are trying to make a playoff push this season, Im gonna be honest you probably wont play unless there are major injuries but we want to have you here as a voice of experience and teaching some of the rooks, also this season we are starting a tradition that every Free Agent signing with Chicago we'll take them out for deep dish your first night in Chicago. Come join us for Deep Dish, and join this great organization."
8/24/2020 22:44:31,Random,Montreal Mounties,Marvin Ware,0.5,5,
8/25/2020 12:02:42,Agombar,Pittsburgh Rivers,Matt Harris,0.5,5,
8/25/2020 12:02:00,Agombar,Pittsburgh Rivers,Mike Davies,0.5,5,
8/25/2020 11:56:42,Agombar,Pittsburgh Rivers,Mike Gauper,0.5,5,
8/23/2020 17:41:22,Fingal,Denver High,Mitch Burge,5,2,"Two years, because you are a good OL sir"
8/23/2020 18:37:10,Darkhour,Miami Cyclones,Mitch Burge,5,5,
8/24/2020 15:49:49,saucypillow,San Diego Pandas,Mitch Burge,5.39,5,
8/24/2020 15:57:27,ThiccThanos,Seattle Symphony,Mitch Burge,5,3,
8/24/2020 16:03:39,Johnnie,Vancouver Whalers,Mitch Burge,10.5,2,You will start.
8/23/2020 20:25:01,Darkhour ,Miami Cyclones,Nick Pines,15,1,
8/25/2020 8:25:25,Spartan,Detroit Muscle,Patrick Marshall,1,2,"Hello Patrick,

The Detroit Muscle would like to sign you to be our starting kicker for this season and potentially beyond. With a rookie QB and a developing offense, we'll have a high reliance on you to score some points for us and keep games competitive. With a consistent performance this season, we'd be extremely interested in retaining you to be our kicker for future seasons.

Best,
Spartan
Detroit AGM"
8/24/2020 23:17:12,Darkhour,Miami Cyclones,Patrick Marshall,2,1,
8/24/2020 22:45:31,Random,Montreal Mounties,Patrick Marshall,1.5,1,
8/24/2020 13:17:54,Trish Stratus ,Cleveland Curses,Patrick Marshall ,0.5,1,2000
8/23/2020 18:35:56,RMTGames,Chicago Whirlwinds,Peje' Davis,0.5,1,"Hey Peje, come fight for the 2nd string qb spot here in Chicago, we'll take you out for Deep Dish."
8/24/2020 22:33:16,Random,Montreal Mounties,Percy Murray,0.5,5,Complete for a starting QB role!
8/25/2020 5:16:11,buck,San Francisco Venture Capitalists,Percy Murray,0.7,3,
8/23/2020 17:55:50,thechosenone824,Kansas City Sauce,Phillip Sharpe,10,2,
8/23/2020 20:24:10,Darkhour ,Miami Cyclones,Phillip Sharpe,15,1,
8/25/2020 1:08:09,Dalphix,Minneapolis Blizzard,Poni Remmers,1,2,
8/24/2020 22:38:18,Random,Montreal Mounties,Reid Lawson,2.5,3,
8/24/2020 22:58:47,Just Ballin,Boston Massacre,Ron Silva,0.5,4,
8/25/2020 8:44:10,Spartan,Detroit Muscle,Ryan Witcpalek,6.5,2,
8/25/2020 5:08:52,buck,San Francisco Venture Capitalists,Sam Holland,4,1,
8/24/2020 22:36:34,Random,Montreal Mounties,Sam Ryan,3,3,pls join
8/24/2020 14:46:12,Scotty ,Tampa Turtles,Seth frye,0.5,2,
8/25/2020 5:08:10,buck,San Francisco Venture Capitalists,Seth Weber,3,1,
8/25/2020 5:57:54,Fingal,Denver High,Siale Warrick,1,1,Punter! Come punting!
8/24/2020 13:21:49,Trish Stratus ,Cleveland Curses,Sialle Warrick,1,2,3500
8/25/2020 1:14:34,Dalphix,Minneapolis Blizzard,Stacy Wood-Dvorak,0.8,2,
8/24/2020 15:50:02,Billythekid1701,Las Vegas Blue Chips,Sterling Higdon,8,3,"We need a DL that can come in and turn our D-line back into once of the top forces in the league, and you got the skills to do so. Here at LV we are willing to pay you over a span of yrs that leads you into your 30s, because you are just that good, come to LV and let’s get back in the playoff race!"
8/24/2020 9:43:24,buck,San Francisco Venture Capitalists,Sterling Higdon,8.1,1,
8/25/2020 5:12:18,buck,San Francisco Venture Capitalists,Stevin Gunter,0.5,3,
8/24/2020 22:47:37,Random,Montreal Mounties,Stuart Benzschawel,4,1,
8/24/2020 16:02:31,Johnnie,Vancouver Whalers,Taoheed Kanuch,1,5,You’ll start.
8/25/2020 11:54:47,Agombar,Pittsburgh Rivers,Taylor Kozicz,1,5,
8/24/2020 16:09:10,Just Ballin,Boston Massacre,Trevor Berg,7,5,
8/23/2020 17:40:58,Fingal,Denver High,Trevor Berg,14,1,"Hi Trevor!

You're tired of playing for a choking QB? Porter already proved he could lead a good offense to a ring! With Kraus at RB and Park at TE you would provide us with one great weapon at position.

We really appreciate your ability to make a difference due to your athleticism and your excellent route running ability.

Come to Denver, 

Bye

"
8/24/2020 12:45:16,Threes > Twos,St. Louis Spirits,Trevor Berg,16,2,"If you come to St Louis, you will be able to provide another weapon for our rising quarterback and get this team to the playoffs for the first time in years."
8/25/2020 8:41:15,Spartan,Detroit Muscle,Tyson McCollough,3,2,"Hello Tyson,

The Detroit Muscle would like to sign you to a two year contract as you proceed through your rehabilitation. We'd like to sign you for two years, so that you can get back on your feet, literally and figuratively, and earn yourself a long term contract with our organization, or another one. We have the time and patience to wait, and we have full confidence that you'll make a full recovery and get back to being a starter in no time.

Best,
Spartan
Detroit AGM"
8/23/2020 17:19:01,Ricky,Cleveland Curses,Victor Daniel,15,3,The Cleveland Curses are out to rebuild and become a genuine threat in the AFF. With someone with your talent on our defense. We can begin taking those steps to climbing out of the bottom of the league and begin building for the future!
8/25/2020 8:43:01,Spartan,Detroit Muscle,Victor Daniel,8,3,
8/25/2020 5:10:18,buck,San Francisco Venture Capitalists,Victor Daniel,7,4,
8/24/2020 23:21:56,Just Ballin,Boston Massacre,Walter Hannah,1.1,3,
8/23/2020 19:05:55,Fritz-Nuk-Po#3851,Houston Apollos,Walter Klugey,13,4,
8/24/2020 15:51:48,Durantula,Philadelphia Liberty,Walter Klugey,16,3,
8/24/2020 15:43:53,Atomicman18,Sacramento Gold Rush,Walter Klugey,15,4,"Walter, 

The Sacramento franchise is very excited to reach out to with our proposed offer for you to join our club. Your production and development during your time int he league has been very impressive and has caught our attention. We foresee you being a key cog in our efforts to re-tool and revitalize this club. 

You will have an opportunity to anchor a secondary that has some pieces, but needs a leader. We feel that your talent and potential going forward will fit perfectly into our plan to charge this roster with youthful talent that can help us with an upward trajectory starting this season. 

We understand that this has not been a franchise that many would handpick to join in previous years, but our new front office staff has a vision for putting this club in a position to win early and often. There will be many changes as we go forward, but your impact could start the momentum that we need to truly get this thing headed in the right direction. 

Our focus will be on targeting the most impactful individuals possible at all three levels of the defense and building around them. We expect you to be a centerpiece for our defense and franchise and will tirelessly pursue the proper pieces that fit around you. 

We hope you will consider the opportunity for helping make Sacramento into a perennial playoff team in the near future. "
8/25/2020 6:01:34,Fingal,Denver High,Wes LeMay,2,5,"Hi, You want to play for us boy?"
8/25/2020 8:45:25,Spartan,Detroit Muscle,Will Smith,5,2,
8/25/2020 11:52:08,Agombar,Pittsburgh Rivers,Will Smith,1,5,
8/25/2020 8:43:28,Spartan,Detroit Muscle,Zach Pahua,6.5,2,
8/24/2020 22:49:52,Random,Montreal Mounties,Zach Pahua,7,1,
